The Tall Sexy Tyrion,141.0,0.0,2.0,1458.0,190.0,68.0,5
Ventura County Gulls,139.0,1.0,3.0,1367.0,276.0,73.0,4
Ventura County Gulls,138.0,1.0,4.0,1377.0,273.0,66.0,13
Ventura County Gulls,136.0,3.0,4.0,1259.0,396.0,61.0,3
The Tall Sexy Tyrion,136.0,4.0,3.0,1279.0,346.0,91.0,9
Ozuna Matata,135.0,3.0,5.0,1258.0,391.0,67.0,6
Easy Game Easy Life,134.0,7.0,2.0,1235.0,397.0,84.0,3
Easy Game Easy Life,132.0,6.0,5.0,1174.0,485.0,57.0,6
Ozuna Matata,131.0,7.0,5.0,1158.0,451.0,107.0,9
Ventura County Gulls,129.0,10.0,4.0,1159.0,462.0,95.0,12
Dicks Out for TROUT,128.0,9.0,6.0,1173.0,468.0,75.0,4
Minnesota Islanders,123.0,10.0,10.0,1070.0,577.0,69.0,6
Johto Hoe-Ohs,122.0,17.0,4.0,1120.0,490.0,106.0,12
Cokeland Player Haters,121.0,13.0,9.0,1132.0,503.0,81.0,3
Confortobly Numb,121.0,15.0,7.0,1116.0,505.0,95.0,3
Dicks Out for TROUT,119.0,17.0,7.0,1100.0,530.0,86.0,13
Johto Hoe-Ohs,119.0,17.0,7.0,1097.0,526.0,93.0,9
Dicks Out for TROUT,119.0,18.0,6.0,1099.0,541.0,76.0,6
Confortobly Numb,117.0,18.0,8.0,1074.0,543.0,99.0,6
The Tall Sexy Tyrion,115.0,19.0,9.0,1051.0,559.0,106.0,4
Ventura County Gulls,114.0,21.0,8.0,1099.0,538.0,79.0,8
Dicks Out for TROUT,114.0,21.0,8.0,1055.0,586.0,75.0,7
Easy Game Easy Life,113.0,24.0,6.0,1049.0,576.0,91.0,2
Johto Hoe-Ohs,112.0,18.0,13.0,1095.0,544.0,77.0,5
Dicks Out for TROUT,111.0,16.0,16.0,1036.0,572.0,108.0,5
Ctrl Altuve Delete,110.0,20.0,13.0,1023.0,609.0,84.0,10
The Vallejo Dumpster Fires,109.0,22.0,12.0,1043.0,588.0,85.0,6
Dicks Out for TROUT,107.0,28.0,8.0,1046.0,581.0,89.0,11
Dicks Out for TROUT,104.0,29.0,10.0,1025.0,609.0,82.0,3
Ozuna Matata,102.0,23.0,18.0,1049.0,596.0,71.0,8
Cokeland Player Haters,101.0,28.0,14.0,1030.0,622.0,64.0,2
Cokeland Player Haters,98.0,30.0,15.0,977.0,646.0,93.0,12
Dicks Out for TROUT,94.0,41.0,8.0,930.0,678.0,108.0,10
Ctrl Altuve Delete,92.0,36.0,15.0,928.0,708.0,80.0,11
Minnesota Islanders,90.0,35.0,18.0,967.0,662.0,87.0,8
Ventura County Gulls,89.0,34.0,20.0,937.0,691.0,88.0,5
Ventura County Gulls,88.0,40.0,15.0,937.0,731.0,48.0,11
Ctrl Altuve Delete,87.0,35.0,21.0,926.0,722.0,68.0,6
New Hampshire Thunder Catz,87.0,39.0,17.0,878.0,740.0,98.0,8
Cokeland Player Haters,87.0,40.0,16.0,871.0,761.0,84.0,10
The Vallejo Dumpster Fires,87.0,41.0,15.0,923.0,712.0,81.0,3
Easy Game Easy Life,85.0,42.0,16.0,906.0,713.0,97.0,5
Ozuna Matata,85.0,47.0,11.0,906.0,704.0,106.0,12
Confortobly Numb,84.0,44.0,15.0,895.0,716.0,105.0,11
The Tall Sexy Tyrion,83.0,41.0,19.0,927.0,731.0,58.0,10
Cokeland Player Haters,83.0,43.0,17.0,956.0,685.0,75.0,7
Ventura County Gulls,82.0,42.0,19.0,903.0,711.0,102.0,7
Confortobly Numb,82.0,47.0,14.0,907.0,708.0,101.0,5
Confortobly Numb,82.0,48.0,13.0,894.0,711.0,111.0,12
Confortobly Numb,81.0,52.0,10.0,868.0,735.0,113.0,7
Minnesota Islanders,80.0,43.0,20.0,857.0,742.0,117.0,2
The Vallejo Dumpster Fires,80.0,52.0,11.0,853.0,748.0,115.0,4
Minnesota Islanders,79.0,36.0,28.0,891.0,735.0,90.0,12
Ozuna Matata,79.0,48.0,16.0,907.0,741.0,68.0,4
Ozuna Matata,78.0,46.0,19.0,853.0,784.0,79.0,13
Easy Game Easy Life,78.0,51.0,14.0,837.0,762.0,117.0,9
Ctrl Altuve Delete,77.0,53.0,13.0,830.0,799.0,87.0,2
Ventura County Gulls,76.0,41.0,26.0,875.0,773.0,68.0,6
New Hampshire Thunder Catz,76.0,42.0,25.0,869.0,764.0,83.0,4
Ventura County Gulls,75.0,43.0,25.0,839.0,788.0,89.0,10
Cokeland Player Haters,75.0,55.0,13.0,847.0,758.0,111.0,9
Confortobly Numb,74.0,51.0,18.0,862.0,763.0,91.0,10
Ozuna Matata,72.0,53.0,18.0,863.0,777.0,76.0,5
Easy Game Easy Life,72.0,58.0,13.0,815.0,786.0,115.0,8
Confortobly Numb,71.0,50.0,22.0,826.0,799.0,91.0,13
Ventura County Gulls,71.0,53.0,19.0,832.0,800.0,84.0,2
Confortobly Numb,67.0,61.0,15.0,814.0,812.0,90.0,2
New Hampshire Thunder Catz,65.0,66.0,12.0,807.0,812.0,97.0,6
The Tall Sexy Tyrion,63.0,67.0,13.0,804.0,840.0,72.0,11
Minnesota Islanders,62.0,64.0,17.0,802.0,845.0,69.0,5
The Tall Sexy Tyrion,62.0,66.0,15.0,797.0,823.0,96.0,6
The Vallejo Dumpster Fires,61.0,62.0,20.0,791.0,828.0,97.0,13
Johto Hoe-Ohs,61.0,67.0,15.0,791.0,857.0,68.0,6
Dicks Out for TROUT,60.0,71.0,12.0,761.0,853.0,102.0,8
New Hampshire Thunder Catz,59.0,61.0,23.0,782.0,828.0,106.0,7
The Vallejo Dumpster Fires,59.0,64.0,20.0,785.0,845.0,86.0,8
The Vallejo Dumpster Fires,59.0,69.0,15.0,771.0,832.0,113.0,10
Ctrl Altuve Delete,58.0,61.0,24.0,783.0,840.0,93.0,12
Ctrl Altuve Delete,58.0,75.0,10.0,740.0,875.0,101.0,8
Cokeland Player Haters,56.0,69.0,18.0,780.0,864.0,72.0,5
The Tall Sexy Tyrion,56.0,69.0,18.0,774.0,858.0,84.0,8
Ventura County Gulls,54.0,58.0,31.0,809.0,844.0,63.0,9
The Tall Sexy Tyrion,52.0,69.0,22.0,818.0,820.0,78.0,2
The Vallejo Dumpster Fires,52.0,70.0,21.0,750.0,849.0,117.0,2
Easy Game Easy Life,51.0,73.0,19.0,734.0,862.0,120.0,11
Confortobly Numb,49.0,61.0,33.0,756.0,905.0,55.0,9
New Hampshire Thunder Catz,49.0,77.0,17.0,724.0,877.0,115.0,10
Ctrl Altuve Delete,49.0,77.0,17.0,717.0,910.0,89.0,3
Dicks Out for TROUT,49.0,85.0,9.0,742.0,894.0,80.0,12
Cokeland Player Haters,47.0,61.0,35.0,785.0,889.0,42.0,4
Ozuna Matata,46.0,69.0,28.0,767.0,855.0,94.0,7
The Vallejo Dumpster Fires,45.0,79.0,19.0,762.0,864.0,90.0,5
New Hampshire Thunder Catz,45.0,91.0,7.0,649.0,947.0,120.0,3
The Vallejo Dumpster Fires,44.0,76.0,23.0,721.0,894.0,101.0,12
The Vallejo Dumpster Fires,44.0,78.0,21.0,746.0,882.0,88.0,9
Dicks Out for TROUT,43.0,88.0,12.0,667.0,937.0,112.0,2
Easy Game Easy Life,42.0,78.0,23.0,729.0,905.0,82.0,13
Ozuna Matata,42.0,87.0,14.0,688.0,946.0,82.0,10
Cokeland Player Haters,40.0,68.0,35.0,768.0,901.0,47.0,6
Minnesota Islanders,39.0,94.0,10.0,662.0,946.0,108.0,9
Minnesota Islanders,38.0,89.0,16.0,682.0,932.0,102.0,4
Ctrl Altuve Delete,37.0,91.0,15.0,709.0,931.0,76.0,9
Johto Hoe-Ohs,37.0,91.0,15.0,703.0,911.0,102.0,7
Ozuna Matata,36.0,96.0,11.0,603.0,1000.0,113.0,2
New Hampshire Thunder Catz,33.0,85.0,25.0,686.0,943.0,87.0,5
Cokeland Player Haters,32.0,89.0,22.0,716.0,908.0,92.0,8
Minnesota Islanders,32.0,94.0,17.0,668.0,965.0,83.0,11
Johto Hoe-Ohs,32.0,96.0,15.0,678.0,952.0,86.0,11
Minnesota Islanders,31.0,97.0,15.0,648.0,977.0,91.0,7
Easy Game Easy Life,30.0,95.0,18.0,656.0,982.0,78.0,7
Cokeland Player Haters,30.0,103.0,10.0,632.0,973.0,111.0,11
Ozuna Matata,29.0,97.0,17.0,597.0,1000.0,119.0,3
Ctrl Altuve Delete,28.0,103.0,12.0,608.0,1031.0,77.0,5
The Tall Sexy Tyrion,27.0,97.0,19.0,666.0,983.0,67.0,12
The Vallejo Dumpster Fires,27.0,102.0,14.0,592.0,1019.0,105.0,11
Ctrl Altuve Delete,24.0,103.0,16.0,600.0,1015.0,101.0,4
Johto Hoe-Ohs,24.0,106.0,13.0,587.0,1035.0,94.0,3
Easy Game Easy Life,23.0,102.0,18.0,601.0,1037.0,78.0,10
Confortobly Numb,23.0,107.0,13.0,579.0,1033.0,104.0,4
Ozuna Matata,22.0,106.0,15.0,590.0,1059.0,67.0,11
Minnesota Islanders,22.0,113.0,8.0,581.0,1055.0,80.0,13
Johto Hoe-Ohs,21.0,106.0,16.0,637.0,1007.0,72.0,2
Johto Hoe-Ohs,21.0,109.0,13.0,574.0,1039.0,103.0,13
Johto Hoe-Ohs,18.0,111.0,14.0,563.0,1048.0,105.0,8
Confortobly Numb,18.0,113.0,12.0,550.0,1091.0,75.0,8
New Hampshire Thunder Catz,18.0,116.0,9.0,534.0,1089.0,93.0,2
Cokeland Player Haters,17.0,101.0,25.0,639.0,1001.0,76.0,13
Easy Game Easy Life,17.0,113.0,13.0,575.0,1042.0,99.0,4
Minnesota Islanders,16.0,116.0,11.0,537.0,1067.0,112.0,3
Ctrl Altuve Delete,15.0,118.0,10.0,675.0,980.0,61.0,13
The Tall Sexy Tyrion,12.0,118.0,13.0,494.0,1132.0,90.0,13
The Tall Sexy Tyrion,12.0,121.0,10.0,610.0,1030.0,76.0,3
Minnesota Islanders,12.0,121.0,10.0,469.0,1156.0,91.0,10
The Tall Sexy Tyrion,11.0,115.0,17.0,612.0,1032.0,72.0,7
Easy Game Easy Life,11.0,119.0,13.0,553.0,1062.0,101.0,12
Ctrl Altuve Delete,11.0,125.0,7.0,496.0,1135.0,85.0,7
Dicks Out for TROUT,10.0,118.0,15.0,521.0,1085.0,110.0,9
New Hampshire Thunder Catz,7.0,134.0,2.0,460.0,1185.0,71.0,13
Johto Hoe-Ohs,6.0,124.0,13.0,525.0,1110.0,81.0,4
New Hampshire Thunder Catz,6.0,134.0,3.0,401.0,1202.0,113.0,12
New Hampshire Thunder Catz,2.0,137.0,4.0,404.0,1246.0,66.0,11
The Vallejo Dumpster Fires,1.0,138.0,4.0,406.0,1247.0,63.0,7
New Hampshire Thunder Catz,1.0,141.0,1.0,219.0,1404.0,93.0,9
Johto Hoe-Ohs,0.0,141.0,2.0,206.0,1432.0,78.0,10
