Ozuna Matata,212.0,1.0,2.0,2058.0,404.0,118.0,17
Confortobly Numb,211.0,1.0,3.0,1818.0,657.0,105.0,16
The Tall Sexy Tyrion,210.0,1.0,4.0,2189.0,289.0,102.0,5
Ventura County Gulls,209.0,2.0,4.0,2046.0,422.0,112.0,4
Ventura County Gulls,204.0,3.0,8.0,2085.0,406.0,89.0,13
Ventura County Gulls,203.0,6.0,6.0,1898.0,589.0,93.0,3
Cokeland Player Haters,202.0,4.0,9.0,2017.0,511.0,52.0,17
The Tall Sexy Tyrion,202.0,8.0,5.0,1934.0,514.0,132.0,9
Dicks Out for TROUT,200.0,12.0,3.0,2012.0,447.0,121.0,19
Ozuna Matata,199.0,8.0,8.0,1904.0,578.0,98.0,6
Easy Game Easy Life,197.0,11.0,7.0,1766.0,730.0,84.0,6
Easy Game Easy Life,197.0,12.0,6.0,1855.0,592.0,133.0,3
Ventura County Gulls,196.0,10.0,9.0,1828.0,596.0,156.0,19
Minnesota Islanders,196.0,14.0,5.0,1887.0,585.0,108.0,14
Ozuna Matata,195.0,11.0,9.0,1744.0,670.0,166.0,9
Ventura County Gulls,193.0,13.0,9.0,1851.0,601.0,128.0,20
Ventura County Gulls,193.0,15.0,7.0,1751.0,733.0,96.0,18
Ventura County Gulls,190.0,17.0,8.0,1750.0,688.0,142.0,12
Dicks Out for TROUT,189.0,18.0,8.0,1770.0,690.0,120.0,4
Cokeland Player Haters,184.0,16.0,15.0,1709.0,743.0,128.0,3
The Tall Sexy Tyrion,182.0,16.0,17.0,1656.0,789.0,135.0,18
Dicks Out for TROUT,182.0,22.0,11.0,1710.0,746.0,124.0,17
Minnesota Islanders,181.0,17.0,17.0,1614.0,859.0,107.0,6
Ventura County Gulls,181.0,23.0,11.0,1780.0,691.0,109.0,14
The Vallejo Dumpster Fires,181.0,26.0,8.0,1626.0,842.0,112.0,19
Ozuna Matata,180.0,27.0,8.0,1691.0,737.0,152.0,19
Confortobly Numb,179.0,27.0,9.0,1678.0,750.0,152.0,3
Johto Hoe-Ohs,179.0,28.0,8.0,1680.0,740.0,160.0,12
Johto Hoe-Ohs,178.0,27.0,10.0,1657.0,791.0,132.0,9
Ozuna Matata,174.0,26.0,15.0,1678.0,731.0,171.0,18
Cokeland Player Haters,174.0,34.0,7.0,1657.0,798.0,125.0,14
Dicks Out for TROUT,173.0,33.0,9.0,1646.0,817.0,117.0,6
Dicks Out for TROUT,172.0,29.0,14.0,1657.0,813.0,110.0,13
Confortobly Numb,171.0,32.0,12.0,1618.0,823.0,139.0,6
Dicks Out for TROUT,169.0,33.0,13.0,1594.0,872.0,114.0,7
Ventura County Gulls,169.0,37.0,9.0,1663.0,802.0,115.0,8
Dicks Out for TROUT,168.0,32.0,15.0,1629.0,820.0,131.0,16
Johto Hoe-Ohs,167.0,31.0,17.0,1657.0,806.0,117.0,5
Dicks Out for TROUT,166.0,31.0,18.0,1561.0,853.0,166.0,5
Easy Game Easy Life,166.0,37.0,12.0,1588.0,869.0,123.0,2
The Tall Sexy Tyrion,166.0,37.0,12.0,1571.0,849.0,160.0,4
The Vallejo Dumpster Fires,165.0,33.0,17.0,1587.0,814.0,179.0,20
Ctrl Altuve Delete,164.0,38.0,13.0,1594.0,839.0,147.0,19
Confortobly Numb,163.0,34.0,18.0,1545.0,961.0,74.0,17
Ctrl Altuve Delete,163.0,36.0,16.0,1542.0,915.0,123.0,10
The Vallejo Dumpster Fires,160.0,40.0,15.0,1576.0,882.0,122.0,6
Dicks Out for TROUT,158.0,47.0,10.0,1569.0,864.0,147.0,11
Ventura County Gulls,155.0,37.0,23.0,1546.0,883.0,151.0,17
Dicks Out for TROUT,154.0,44.0,17.0,1551.0,906.0,123.0,3
Ventura County Gulls,154.0,44.0,17.0,1547.0,897.0,136.0,16
Ozuna Matata,153.0,37.0,25.0,1598.0,880.0,102.0,8
Cokeland Player Haters,152.0,44.0,19.0,1558.0,921.0,101.0,2
Ozuna Matata,150.0,44.0,21.0,1518.0,950.0,112.0,14
Dicks Out for TROUT,148.0,49.0,18.0,1477.0,931.0,172.0,18
Cokeland Player Haters,145.0,49.0,21.0,1478.0,965.0,137.0,12
Ctrl Altuve Delete,140.0,57.0,18.0,1419.0,1046.0,115.0,11
Dicks Out for TROUT,139.0,63.0,13.0,1407.0,1009.0,164.0,10
Johto Hoe-Ohs,138.0,55.0,22.0,1418.0,996.0,166.0,14
Ctrl Altuve Delete,137.0,53.0,25.0,1404.0,1068.0,108.0,6
Minnesota Islanders,136.0,54.0,25.0,1464.0,974.0,142.0,8
Ventura County Gulls,136.0,55.0,24.0,1417.0,1032.0,131.0,5
Cokeland Player Haters,134.0,62.0,19.0,1320.0,1133.0,127.0,10
The Vallejo Dumpster Fires,133.0,60.0,22.0,1381.0,1063.0,136.0,3
Ventura County Gulls,131.0,59.0,25.0,1423.0,1092.0,65.0,11
Easy Game Easy Life,131.0,63.0,21.0,1373.0,1058.0,149.0,5
New Hampshire Thunder Catz,131.0,64.0,20.0,1315.0,1111.0,154.0,8
Confortobly Numb,130.0,67.0,18.0,1395.0,1041.0,144.0,5
Ozuna Matata,130.0,69.0,16.0,1369.0,1052.0,159.0,12
Confortobly Numb,129.0,68.0,18.0,1346.0,1069.0,165.0,11
Confortobly Numb,128.0,71.0,16.0,1352.0,1056.0,172.0,12
Ventura County Gulls,127.0,63.0,25.0,1375.0,1048.0,157.0,7
Cokeland Player Haters,126.0,63.0,26.0,1453.0,1020.0,107.0,7
Confortobly Numb,126.0,78.0,11.0,1321.0,1100.0,159.0,7
Minnesota Islanders,125.0,65.0,25.0,1290.0,1119.0,171.0,2
The Tall Sexy Tyrion,124.0,60.0,31.0,1402.0,1088.0,90.0,10
Ozuna Matata,124.0,69.0,22.0,1383.0,1097.0,100.0,4
Johto Hoe-Ohs,124.0,70.0,21.0,1330.0,1069.0,181.0,17
The Vallejo Dumpster Fires,124.0,78.0,13.0,1303.0,1106.0,171.0,4
Minnesota Islanders,123.0,59.0,33.0,1360.0,1087.0,133.0,12
Ventura County Gulls,120.0,63.0,32.0,1310.0,1161.0,109.0,6
Ozuna Matata,120.0,72.0,23.0,1292.0,1168.0,120.0,13
Easy Game Easy Life,119.0,75.0,21.0,1270.0,1122.0,188.0,9
Confortobly Numb,118.0,75.0,22.0,1310.0,1130.0,140.0,10
Cokeland Player Haters,118.0,80.0,17.0,1291.0,1129.0,160.0,9
Ctrl Altuve Delete,117.0,79.0,19.0,1267.0,1190.0,123.0,2
Ventura County Gulls,114.0,64.0,37.0,1263.0,1178.0,139.0,10
New Hampshire Thunder Catz,113.0,63.0,39.0,1314.0,1141.0,125.0,4
Ozuna Matata,113.0,79.0,23.0,1300.0,1151.0,129.0,5
Easy Game Easy Life,113.0,84.0,18.0,1236.0,1172.0,172.0,8
The Vallejo Dumpster Fires,111.0,87.0,17.0,1228.0,1201.0,151.0,16
Ventura County Gulls,108.0,79.0,28.0,1274.0,1186.0,120.0,2
New Hampshire Thunder Catz,107.0,94.0,14.0,1234.0,1203.0,143.0,6
Confortobly Numb,106.0,79.0,30.0,1247.0,1190.0,143.0,13
Cokeland Player Haters,104.0,97.0,14.0,1199.0,1210.0,171.0,20
The Tall Sexy Tyrion,103.0,95.0,17.0,1221.0,1244.0,115.0,11
Confortobly Numb,102.0,89.0,24.0,1234.0,1223.0,123.0,2
The Tall Sexy Tyrion,102.0,93.0,20.0,1217.0,1215.0,148.0,6
Ozuna Matata,100.0,98.0,17.0,1182.0,1221.0,177.0,20
The Vallejo Dumpster Fires,99.0,90.0,26.0,1209.0,1224.0,147.0,13
Minnesota Islanders,98.0,89.0,28.0,1228.0,1220.0,132.0,20
New Hampshire Thunder Catz,97.0,93.0,25.0,1178.0,1235.0,167.0,7
Minnesota Islanders,96.0,97.0,22.0,1219.0,1250.0,111.0,5
Dicks Out for TROUT,96.0,100.0,19.0,1159.0,1263.0,158.0,8
The Tall Sexy Tyrion,95.0,102.0,18.0,1178.0,1265.0,137.0,14
The Vallejo Dumpster Fires,93.0,97.0,25.0,1186.0,1266.0,128.0,8
Johto Hoe-Ohs,93.0,100.0,22.0,1195.0,1278.0,107.0,6
The Vallejo Dumpster Fires,93.0,101.0,21.0,1164.0,1245.0,171.0,10
Ctrl Altuve Delete,91.0,92.0,32.0,1171.0,1273.0,136.0,14
Cokeland Player Haters,91.0,98.0,26.0,1191.0,1275.0,114.0,5
The Tall Sexy Tyrion,90.0,100.0,25.0,1179.0,1274.0,127.0,8
Ctrl Altuve Delete,90.0,108.0,17.0,1131.0,1306.0,143.0,8
Ctrl Altuve Delete,89.0,92.0,34.0,1188.0,1262.0,130.0,12
