Clint,Nate,Allen,Tim
62.0,61.0,  ,57.0
Clint,Nate,Brian,Will
19.0,18.0,  ,17.0
Ryan,John,Clint,Will
63.0,  ,60.0,58.0
Shandor,Tim,Allen,Mike
11.0,10.0,8.0,  
Danny,Nate,Ryan
0.3527,0.3464,0.3428
Nate,Clint,Danny
0.4586,0.4479,0.442
Danny,John,Nate
98.0,97.0,95.0
Danny,Brian,Clint,John,Tim
5.0,  ,4.0,  ,3.0
Clint,Nate,Ryan,Brian
2.165,2.837,3.0,  
Clint,Cullen,Brian
0.906,1.013,1.062
Cullen,Ryan,John
3.864,3.81,3.731
Shandor,Will,Tim
10.0,8.0,7.0
1,2,1
1,2,1
2,1,1
1,1,2
1,1,1
1,1,1
1,1,1
2,2,1
1,1,2
1,1,1
1,1,1
1,1,1
