John,Allen,Mike,Brian
41.0,37.0,  ,36.0
Mike,Will,John,Brian,Allen,Danny
11.0,10.0,  ,  ,9.0,  
Clint,Will,Mike
45.0,40.0,39.0
Cullen,Shandor,John,Mike,Will,Tim
7.0,  ,6.0,  ,5.0,  
Will,Allen,Brian
0.3399,0.3344,0.3299
Will,Allen,Brian
0.4532,0.4339,0.4235
Cullen,Shandor,Danny
76.0,73.0,72.0
Tim,Allen,Danny,Shandor,Brian
7.0,5.0,  ,  ,4.0
Shandor,John,Allen
2.215,2.314,2.686
Tim,John,Cullen
0.922,0.943,0.995
Shandor,Brian,John
5.615,4.643,4.636
Will,Shandor,Clint,Cullen,John
6.0,  ,5.0,  ,4.0
1,2,1
1,3,2
1,1,1
2,2,2
1,1,1
1,1,1
1,1,1
1,3,1
1,1,1
1,1,1
1,1,1
2,2,1
